offset|type|name|id|url
2-0-9|page|Marketing Onboarding - for new Measurablites|marketing-onboarding-for-new-measurablites|https://app.tettra.co/teams/measurabl/pages/marketing-onboarding-for-new-measurablites
2-0-10|page|Marketing Partners|marketing-partners|https://app.tettra.co/teams/measurabl/pages/marketing-partners
2-0-11|page|greenofficetool.com|greenofficetoolcom|https://app.tettra.co/teams/measurabl/pages/greenofficetoolcom
2-0-12|page|Schneider Electric Resource Advisor|schneider-electric-resource-advisor|https://app.tettra.co/teams/measurabl/pages/schneider-electric-resource-advisor
2-0-13|page|Sustainalytics|sustainalytics|https://app.tettra.co/teams/measurabl/pages/sustainalytics
2-1|folder|Systems & Tools|15628|https://app.tettra.co/teams/measurabl/categories/137281/folders/15628
2-1-0|page|HubSpot naming convention changes - Marketing : Sales : CS|hubspot-naming-convention-changes-marketing-sales-cs|https://app.tettra.co/teams/measurabl/pages/hubspot-naming-convention-changes-marketing-sales-cs
2-1-1|page|Drift thoughts|drift-thoughts|https://app.tettra.co/teams/measurabl/pages/drift-thoughts
2-1-2|page|HubSpot data integrity issues to fix|hubspot-data-integrity-issues-to-fix|https://app.tettra.co/teams/measurabl/pages/hubspot-data-integrity-issues-to-fix
2-2|folder|Campaigns|13452|https://app.tettra.co/teams/measurabl/categories/137281/folders/13452
2-2-0|page|Upcoming campaign proposed timeline/activities|upcoming-campaign-proposed-timelineactivities|https://app.tettra.co/teams/measurabl/pages/upcoming-campaign-proposed-timelineactivities
2-2-1|page|Touchpoints w/customers|touchpoints-wcustomers|https://app.tettra.co/teams/measurabl/pages/touchpoints-wcustomers
2-3|folder|Content development|15627|https://app.tettra.co/teams/measurabl/categories/137281/folders/15627
2-3-0|page|Marketing Resources (webinars, one-pagers, etc.)|marketing-resources-webinars-one-pagers-etc|https://app.tettra.co/teams/measurabl/pages/marketing-resources-webinars-one-pagers-etc
2-4|folder|Events|15625|https://app.tettra.co/teams/measurabl/categories/137281/folders/15625
2-4-0|page|2018 events/attendees|2018-eventsattendees|https://app.tettra.co/teams/measurabl/pages/2018-eventsattendees
2-4-1|page|List of events on our radar|list-of-events-on-our-radar|https://app.tettra.co/teams/measurabl/pages/list-of-events-on-our-radar
2-4-2|page|Event process_12July2018.docx|event-process-12july2018docx|https://app.tettra.co/teams/measurabl/pages/event-process-12july2018docx
2-4-3|page|Event Strategy|event-strategy|https://app.tettra.co/teams/measurabl/pages/event-strategy
2-4-4|page|IBcon company attendee list (as of May 23)|ibcon-company-attendee-list-as-of-may-23|https://app.tettra.co/teams/measurabl/pages/ibcon-company-attendee-list-as-of-may-23
2-5|page|Conquest Pursuit Playbook Notes|conquest-pursuit-playbook-notes|https://app.tettra.co/teams/measurabl/pages/conquest-pursuit-playbook-notes
